Nom_du_festival,Code_postal_(de_la_commune_principale_de_deroulement),Commune_principale_de_deroulement,Region_principale_de_deroulement,Annee_de_creation_du_festival,Discipline_dominante,Site_internet_du_festival,Latitude,Longitude,Debut,Fin
La Guinguette Au Parc,39000,Lons-le-Saunier,Bourgogne-Franche-Comté,2013,Spectacle vivant,https://sortiralons.fr/guinguette-au-parc/,46.6744796278,5.55733212947,juin,septembre
Atuluça - Festival De La Littérature Jeunesse,37700,Saint-Pierre-des-Corps,Centre-Val de Loire,2020,"Livre, littérature",https://www.facebook.com/Atulu%C3%A7a-467768827366018/,47.3884488197,0.738011772072,juin,septembre
Biennale De La Danse,69000,Lyon,Auvergne-Rhône-Alpes,1984,Spectacle vivant,www.labiennaledelyon.com,45.759723,4.842223,septembre,décembre
Novembre Des Canuts,69004,Lyon,Auvergne-Rhône-Alpes,2008,Pluridisciplinaire,http://canuts.chienjaune.eu/,45.759723,4.842223,septembre,décembre
Ciné Horizontes,13006,Marseille,Provence-Alpes-Côte d'Azur,2001,"Cinéma, audiovisuel",cinehorizontes.com,43.296346,5.369889,septembre,décembre
Festival Du Trac,63490,Sauxillanges,Auvergne-Rhône-Alpes,2018,Spectacle vivant,https://festivaldutrac.wixsite.com/festivaldutrac,45.562939202,3.37211320059,septembre,décembre
Rencontres Musicales De Noyers,89310,Noyers,Bourgogne-Franche-Comté,1991,Musique,http://www.musicalesdenoyers.com/,47.6952215995,3.98085741528,juin,septembre
Worldwide Festival,34200,Sète,Occitanie,2006,Musique,www.worldwidefestival.com,43.3917705831,3.64705148296,juin,septembre
Super Via,59600,Maubeuge,Hauts-de-France,2019,Pluridisciplinaire,http://leguidedesfestivals.com/2019-festival-supervia-37763.html,50.283630719,3.96328053037,janvier,juin
Les Festives De Meloisey,21190,Meloisey,Bourgogne-Franche-Comté,2018,Pluridisciplinaire,http://www.festives-meloisey.fr/infos-pratiques/,47.034440345,4.72026948117,juin,septembre
Salon Du Livre Du Perche,61380,Soligny-la-Trappe,Normandie,2008,"Livre, littérature",salondulivreduperche.fr,48.6272197858,0.549235029616,septembre,décembre
Festival Du Film Subversif De Metz,57000,Metz,Grand Est,01/01/2016 00:00,"Cinéma, audiovisuel",www.festival-subversif.com,49.1081133279,6.1955245421,juin,septembre
Festival Les Zinzins De Lecture,19250,Meymac,Nouvelle-Aquitaine,2010,"Livre, littérature",https://leszincorreziens.jimdo.com/,45.5542315824,2.14009183651,janvier,juin
Les Musicales De Soultz,68360,Soultz-Haut-Rhin,Grand Est,1992,Musique,www.musicales-soultz68.com,47.8827772059,7.17897878271,juin,septembre
Bibliothèques Idéales,67000,Strasbourg,Grand Est,2012,"Livre, littérature",bibliotheques-ideales.strasbourg.eu,48.5712679849,7.76752679517,janvier,juin
Au Fil Des Voix,75018,Paris,Île-de-France,2008,Musique,https://www.aufildesvoix.com/,48.8927350746,2.34871193387,janvier,juin
Festival Européen Du Film Fantastique De Strasbourg,67000,Strasbourg,Grand Est,2006,"Cinéma, audiovisuel",http://strasbourgfestival.com/,48.5712679849,7.76752679517,septembre,décembre
Festival Pic’Arts,2000,Monampteuil,Hauts-de-France,1998,Musique,https://www.picartsfestival.com/,49.4760084468,3.57360176783,juin,septembre
Les Giboulées De La Marionnette,67000,Strasbourg,Grand Est,1976,Spectacle vivant,www.tjp-strasbourg.com,48.5712679849,7.76752679517,septembre,décembre
Lettres D'Automne,82000,Montauban,Occitanie,1991,"Livre, littérature",https://www.confluences.org/lettresdautomne-2/,44.0222594578,1.36408636501,septembre,décembre
